gene_id,Toxin_Nontoxin,Toxin_Class,Icenc-SB0587.genes.results
Icenc-SB0587_UbFUBI_Icenc-SB0587,Nontoxin,Nontoxin,1233.84
Icenc-SB0587_UbCTermHydrolaseL3_Icenc-SB0587,Nontoxin,Nontoxin,81.32
Icenc-SB0587_UbCTermHydrolase46_Icenc-SB0587,Nontoxin,Nontoxin,70.22
Icenc-SB0587_UbCTermHydrolase14_Icenc-SB0587,Nontoxin,Nontoxin,48.64
Icenc-SB0587_UbConjE2N_Icenc-SB0587,Nontoxin,Nontoxin,155.17
Icenc-SB0587_UbConjE2L3_Icenc-SB0587,Nontoxin,Nontoxin,371.79
Icenc-SB0587_UbConjE2K_Icenc-SB0587,Nontoxin,Nontoxin,116.67
Icenc-SB0587_UbConjE2J2_Icenc-SB0587,Nontoxin,Nontoxin,22.92
Icenc-SB0587_UbConjE2J1_Icenc-SB0587,Nontoxin,Nontoxin,124.28
Icenc-SB0587_UbConjE2G2_Icenc-SB0587,Nontoxin,Nontoxin,100.65
Icenc-SB0587_UbConjE2E3_Icenc-SB0587,Nontoxin,Nontoxin,86.17
Icenc-SB0587_UbConjE2D3_Icenc-SB0587,Nontoxin,Nontoxin,469.12
Icenc-SB0587_UbConjE2D2_Icenc-SB0587,Nontoxin,Nontoxin,163.89
Icenc-SB0587_UbConjE2B_Icenc-SB0587,Nontoxin,Nontoxin,73.96
Icenc-SB0587_UbConjE2A_Icenc-SB0587,Nontoxin,Nontoxin,89.48
Icenc-SB0587_UbConjE2_Icenc-SB0587,Nontoxin,Nontoxin,100.59
Icenc-SB0587_UbConjATG3_Icenc-SB0587,Nontoxin,Nontoxin,136.9
Icenc-SB0587_UbCarboxHydrolase1_Icenc-SB0587,Nontoxin,Nontoxin,23.57
Icenc-SB0587_Ub7_Icenc-SB0587,Nontoxin,Nontoxin,38.1
Icenc-SB0587_Ub5_Icenc-SB0587,Nontoxin,Nontoxin,282.01
Icenc-SB0587_Ub3_Icenc-SB0587,Nontoxin,Nontoxin,73.85
Icenc-SB0587_U3nrpIMP4_Icenc-SB0587,Nontoxin,Nontoxin,18.95
Icenc-SB0587_U1snRNPA_Icenc-SB0587,Nontoxin,Nontoxin,56.68
Icenc-SB0587_TyrptRNASyn_Icenc-SB0587,Nontoxin,Nontoxin,71.37
Icenc-SB0587_TyrPP6_Icenc-SB0587,Nontoxin,Nontoxin,13.8
Icenc-SB0587_TyrPP-nonRec2_Icenc-SB0587,Nontoxin,Nontoxin,67.73
Icenc-SB0587_TyrPP-IVA2_Icenc-SB0587,Nontoxin,Nontoxin,230.05
Icenc-SB0587_TyrPP-IVA1_Icenc-SB0587,Nontoxin,Nontoxin,189.52
Icenc-SB0587_TyrPhosRec11_Icenc-SB0587,Nontoxin,Nontoxin,28.36
Icenc-SB0587_TyrosinetRNALig_Icenc-SB0587,Nontoxin,Nontoxin,161.44
Icenc-SB0587_TyrKinCSK_Icenc-SB0587,Nontoxin,Nontoxin,17.12
Icenc-SB0587_Twinfilin2_Icenc-SB0587,Nontoxin,Nontoxin,4.6
Icenc-SB0587_TumorSusc101_Icenc-SB0587,Nontoxin,Nontoxin,148.47
Icenc-SB0587_TumorProtein-p53-2_Icenc-SB0587,Nontoxin,Nontoxin,61.22
Icenc-SB0587_TumorDiffExp2_Icenc-SB0587,Nontoxin,Nontoxin,53.27
Icenc-SB0587_TumorD54-1_Icenc-SB0587,Nontoxin,Nontoxin,87.94
Icenc-SB0587_Tumor2_Icenc-SB0587,Nontoxin,Nontoxin,13.94
Icenc-SB0587_Tumor-p53-11_Icenc-SB0587,Nontoxin,Nontoxin,8.23
